MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,3,4.615120517,14215,2,1,3,3,0,0,3,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,5.940171253,4,3,2,6,4,4,2,0.693147181,2,1158,1158,1,5,1,4,1158,7.104965448,2376,0,0,3,1,1.386294361,1,4,9,7,5,4,3,1.098612289,6.748759547,4,3,5.480638923,5.036952602,1,11,2006,7,1,325300
45,4,4.043051268,7449,2,3,4,0,0,4,3,9,2,2,0,1,7,7,1930,1950,1,1,13,14,2,0,3,3,2,4,4,2,2,0.693147181,2,637,637,1,5,1,1,1108,4.700480366,1108,0,0,1,0,1.098612289,1,4,6,7,5,6,2,0,5.634789603,4,1,2.48490665,1.386294361,5,6,2007,9,6,139400
20,3,4.317488114,9742,2,1,4,3,0,4,3,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,5.638354669,4,3,2,5,4,2,2,0.693147181,2,1685.5,1777,1,5,1,4,1795,4.700480366,1795,0,0,2,0,1.098612289,1,4,7,7,5,6,3,0.693147181,6.280395839,4,3,5.141663557,5.068904202,1,9,2008,9,6,230000
120,4,3.784189634,4224,2,1,4,3,0,4,3,10,2,2,4,2,5,7,1976,1976,1,1,5,5,2,0,3,3,2,5,4,2,7,6.733401892,2,200,1040,1,3,1,4,1060,4.700480366,1060,1,0,1,0,1.098612289,1,3,6,7,4,6,2,0.693147181,6.349138991,4,3,4.605170186,4.700480366,1,6,2007,9,6,129900
20,3,3.044522438,8246,2,1,3,3,0,4,3,19,2,2,0,2,5,8,1968,2001,1,1,9,10,2,0,3,4,1,4,4,3,4,5.236441963,6,204,1060,1,5,1,4,1060,4.700480366,1060,1,0,1,0,1.098612289,1,4,6,7,4,6,2,0,5.598421959,4,3,6.00635316,4.49980967,4,5,2010,9,6,154000
20,3,4.700480366,14230,2,1,4,3,0,0,3,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,6.037274083,4,3,2,5,4,2,2,0.693147181,2,1566,1566,1,5,1,4,1600,4.700480366,1600,0,0,2,0,1.098612289,1,4,7,7,5,6,3,1.098612289,6.791221463,4,3,2.48490665,4.025351691,1,7,2009,9,6,256300
20,3,4.094344562,7200,2,1,4,3,0,0,3,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,0,3,3,1,4,4,3,5,5.455321115,4,180,900,1,3,1,4,900,4.700480366,900,0,1,1,0,1.098612289,1,4,5,7,1,2,2,0.693147181,6.356107661,4,3,5.402677382,3.465735903,1,5,2010,9,6,134800
20,3,4.584967479,11478,2,1,4,3,0,4,3,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,5.298317367,4,3,2,6,4,2,7,7.104965448,2,486,1704,1,5,1,4,1704,4.700480366,1704,1,0,2,0,1.098612289,1,4,7,7,5,6,3,1.098612289,6.64898455,4,3,2.48490665,3.912023005,1,5,2010,9,6,306000
20,3,3.850147602,16321,2,1,3,3,0,1,3,12,2,2,0,2,5,6,1957,1997,1,1,8,8,2,0,3,3,1,4,4,5,5,7.152268856,2,207,1484,1,3,1,4,1600,4.700480366,1600,1,0,1,0,0.693147181,1,3,6,7,5,6,3,0,5.765191103,4,3,5.66296048,5.135798437,1,12,2006,9,6,207500
30,4,4.094344562,6324,2,1,3,3,0,4,3,3,1,7,0,2,4,6,1927,1950,1,1,8,8,2,0,3,3,0,4,4,2,2,0.693147181,2,520,520,1,2,0,4,520,4.700480366,520,0,0,1,0,0,1,2,4,7,1,2,2,0,5.480638923,3,3,3.891820298,1.386294361,1,5,2008,9,6,68500
70,0,3.912023005,8500,2,2,4,3,0,4,3,9,1,2,0,5,4,4,1920,1950,2,1,3,3,2,0,3,2,0,4,4,2,2,0.693147181,2,649,649,1,3,0,4,649,6.504288174,1317,0,0,1,0,1.098612289,1,3,6,7,1,2,2,0,5.521460918,4,1,2.48490665,3.988984047,4,7,2008,9,6,40000
20,3,3.044522438,8544,2,1,3,3,0,1,3,19,2,2,0,2,5,6,1966,2006,1,1,6,6,2,0,3,3,1,4,4,2,2,0.693147181,2,1228,1228,1,4,1,4,1228,4.700480366,1228,0,0,1,1,1.098612289,1,4,6,7,1,6,2,0,5.602118821,4,3,2.48490665,4.17438727,4,6,2008,9,6,149350
20,3,4.442651256,11049,2,1,4,3,0,0,3,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,0,4,3,2,6,4,4,2,0.693147181,2,1234,1234,1,5,1,4,1234,4.700480366,1234,0,0,2,0,1.098612289,1,4,7,7,1,6,3,0.693147181,6.182084907,4,3,2.48490665,3.401197382,1,1,2008,9,6,179900
20,3,4.248495242,10552,2,1,3,3,0,4,3,12,2,2,0,2,5,5,1959,1959,3,1,3,3,2,0,3,3,1,4,4,2,4,6.925595197,2,380,1398,1,4,1,4,1700,4.700480366,1700,0,1,1,1,1.386294361,1,4,6,7,5,6,3,0.693147181,6.102558595,4,3,2.48490665,3.63758616,1,4,2010,9,6,165500
120,3,4.094344562,7313,2,1,4,3,0,4,3,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,5.505331536,5,3,2,6,4,2,7,7.05012252,2,408,1561,1,5,1,4,1561,4.700480366,1561,1,0,2,0,0.693147181,1,5,6,7,5,6,4,0.693147181,6.320768294,4,3,5.313205979,3.850147602,1,8,2007,9,6,277500
60,3,4.682131227,13418,2,1,4,3,0,4,3,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,4.882801923,4,3,2,6,4,4,2,0.693147181,2,1117,1117,1,5,1,4,1132,7.185387016,2452,0,0,3,1,1.386294361,1,4,9,7,5,4,4,1.098612289,6.538139824,4,3,4.727387819,3.465735903,1,9,2006,9,6,309000
20,3,4.718498871,10859,2,1,4,3,0,0,3,5,2,2,0,2,5,5,1994,1995,1,1,12,13,2,0,3,3,2,5,4,2,2,0.693147181,2,1097,1097,1,5,1,4,1097,4.700480366,1097,0,0,1,1,1.098612289,1,3,6,7,1,6,2,0.693147181,6.510258341,4,3,5.97126184,4.158883083,1,6,2009,9,6,145000
20,3,4.304065093,8532,2,1,4,3,0,4,3,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,6.037274083,3,3,1,4,4,2,4,7.100851909,2,84,1297,1,4,1,4,1297,4.700480366,1297,0,1,1,0,1.098612289,1,3,5,7,4,6,4,0.693147181,6.210600077,4,3,2.48490665,1.386294361,1,10,2009,9,6,153000
20,3,4.219507705,7922,2,1,4,3,0,4,3,12,2,2,0,2,5,7,1953,2007,1,1,12,13,2,0,3,4,1,4,4,2,7,6.59441346,2,326,1057,1,3,1,4,1057,4.700480366,1057,1,0,1,0,1.098612289,1,4,5,7,1,2,2,0,5.505331536,4,3,2.48490665,3.951243719,1,1,2010,9,5,109000
90,3,4.17438727,6040,2,1,4,3,0,4,3,7,2,2,2,2,4,5,1955,1955,1,1,0,10,2,0,3,3,2,1,1,1,1,0.693147181,1,0,42,1,3,0,2,1152,4.700480366,1152,0,0,2,0,0.693147181,2,2,6,7,1,1,1,0,5.075173815,1,1,2.48490665,1.386294361,1,6,2008,9,4,82000
20,3,4.430816799,8658,2,1,4,3,0,4,3,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,4.615120517,3,3,1,4,4,2,4,6.466144724,2,445,1088,1,5,1,4,1324,4.700480366,1324,0,0,2,0,1.098612289,1,3,6,7,4,6,3,0.693147181,6.086774727,4,3,2.48490665,4.927253685,3,12,2006,9,5,160000
20,3,4.744932128,16905,2,1,4,3,0,4,3,23,2,2,0,2,5,6,1959,1959,1,1,12,13,2,0,3,4,1,4,4,5,5,6.874198495,2,383,1350,1,4,1,4,1328,4.700480366,1328,0,1,1,1,0.693147181,1,3,5,7,5,6,3,0,5.730099783,4,2,2.48490665,4.644390899,1,7,2007,9,6,170000
85,3,3.044522438,9180,2,1,3,3,0,1,3,20,2,2,0,6,5,7,1983,1983,1,1,6,6,2,0,3,3,1,5,4,4,6,6.616065185,3,0,840,1,4,1,4,884,4.700480366,884,1,0,1,0,0.693147181,1,4,5,7,1,6,3,0.693147181,6.222576268,4,3,5.480638923,1.386294361,4,12,2007,9,6,144000
20,3,3.044522438,9200,2,1,3,3,0,1,3,5,2,2,0,2,5,6,1975,1980,3,1,12,13,2,0,3,3,1,5,4,4,3,5.634789603,5,167,938,1,3,1,4,938,4.700480366,938,1,0,1,0,1.098612289,1,3,5,7,1,2,2,0,5.730099783,4,3,4.976733742,1.386294361,4,7,2008,9,6,130250
20,3,4.248495242,7945,2,1,4,3,0,4,3,12,2,2,0,2,5,6,1959,1959,1,1,3,14,2,0,3,3,1,4,4,2,6,5.187385806,5,465,1150,1,5,1,0,1150,4.700480366,1150,1,0,1,0,1.098612289,1,3,6,7,1,6,3,0,5.703782475,4,3,2.48490665,1.386294361,1,5,2006,9,6,141000
120,3,4.110873864,7658,2,1,4,3,0,4,3,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,6.021023349,5,3,2,6,4,2,7,6.12249281,2,1296,1752,1,5,1,4,1752,4.700480366,1752,1,0,2,0,0.693147181,1,5,6,7,5,6,3,0.693147181,6.356107661,4,3,5.278114659,4.406719247,1,2,2010,9,6,319900
50,3,3.871201011,12822,2,1,3,3,0,1,3,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,0,4,3,2,6,4,2,7,7.208600338,2,83,1434,1,5,1,4,1518,6.447305863,2149,1,0,1,1,0,1,4,6,7,6,6,3,0.693147181,6.507277712,4,3,5.123963979,3.761200116,1,8,2009,9,5,239686
20,1,4.430816799,11096,2,1,4,3,0,4,3,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,0,4,3,2,5,4,4,7,3.17805383,2,1632,1656,1,5,1,4,1656,4.700480366,1656,0,0,2,0,1.098612289,1,4,7,7,1,6,3,1.098612289,6.716594774,4,3,2.48490665,4.983606622,1,7,2007,9,6,249700
190,4,3.496507561,4456,2,1,4,3,0,4,3,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,0,3,3,0,4,4,2,2,0.693147181,2,736,736,1,4,1,4,736,6.573680167,1452,0,0,2,0,0.693147181,3,3,8,7,1,1,1,0,5.075173815,1,1,2.48490665,1.386294361,1,6,2009,7,1,113000
20,3,4.189654742,7742,2,1,4,3,0,4,3,19,2,2,0,2,5,7,1966,1966,1,1,6,6,2,0,3,3,1,4,4,2,5,6.637258031,2,192,955,1,5,1,4,955,4.700480366,955,1,0,1,0,1.098612289,1,3,6,7,1,6,2,0,5.955837369,4,3,2.48490665,1.386294361,4,1,2007,9,6,127000
60,3,3.044522438,13869,2,1,2,3,0,0,3,8,2,2,0,5,6,6,1997,1997,1,1,12,13,2,0,3,3,2,5,4,4,7,5.204006687,2,612,794,1,4,1,4,794,6.516193076,1470,0,1,2,0,1.098612289,1,3,6,7,1,6,4,0.693147181,5.96100534,4,3,2.48490665,4.317488114,1,7,2007,9,6,177000
50,4,3.951243719,6240,2,1,4,3,0,4,3,3,2,2,0,0,6,6,1934,1950,1,1,13,14,2,0,3,3,2,4,4,2,2,0.693147181,2,816,816,1,3,1,4,816,4.700480366,1176,0,0,1,0,1.098612289,1,3,6,7,5,2,2,0.693147181,6.269096284,4,3,4.718498871,1.386294361,4,9,2006,9,6,114500
90,4,4.700480366,8472,3,1,2,0,0,0,2,9,8,2,2,2,5,5,1963,1963,1,1,13,14,2,0,2,3,1,5,4,5,3,4.644390899,7,0,816,1,3,0,4,816,4.700480366,816,1,0,1,0,0.693147181,1,3,5,7,1,3,2,0.693147181,6.246106765,4,3,4.663439094,1.386294361,1,5,2010,9,6,110000
20,3,4.219507705,17673.5,2,1,3,2,0,4,3,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,0,4,3,1,6,4,5,7,7.484719705,2,32,1842,1,4,1,4,1842,4.700480366,1842,2,0,0,1,-0.693147181,1,4,5,7,5,6,4,1.098612289,6.795705775,4,3,6.040254711,4.276666119,1,11,2006,9,6,340037.5
80,3,4.094344562,7134,2,1,4,0,0,4,2,12,2,2,0,7,5,5,1955,1955,1,1,8,8,2,0,3,3,1,4,4,2,6,5.950642553,2,0,384,1,3,1,4,1360,4.700480366,1360,0,0,1,0,1.098612289,1,3,6,6,4,2,2,0.693147181,6.349138991,4,3,2.48490665,3.912023005,4,2,2007,9,6,130000
20,3,4.605170186,10175,2,1,3,3,0,4,3,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,5.605802066,3,3,1,4,4,2,5,6.194405391,2,935,1425,1,4,1,4,1425,4.700480366,1425,0,0,2,0,1.098612289,1,3,7,7,5,6,3,0.693147181,6.356107661,4,3,2.48490665,1.386294361,1,7,2008,9,6,180500
160,1,3.17805383,2645,2,2,4,3,0,4,3,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,6.037274083,4,3,2,5,4,2,7,6.475432717,2,321,970,1,5,1,4,983,6.628041376,1739,1,0,2,1,1.098612289,1,4,7,7,1,6,4,0.693147181,6.173786104,4,3,4.744932128,1.386294361,1,8,2009,9,5,172500
60,3,4.48863637,11645,2,1,3,3,0,0,3,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0,4,3,2,5,4,2,2,0.693147181,2,860,860,1,5,1,4,860,6.756932389,1720,0,0,2,1,1.098612289,1,4,7,7,1,6,3,0.693147181,6.336825731,4,3,2.48490665,4.248495242,1,8,2006,9,6,196500
60,3,4.189654742,13682,2,1,2,1,0,1,3,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,6.037274083,5,3,2,6,4,5,2,0.693147181,2,1410,1410,1,5,1,4,1426,7.325807503,2747.625,0,0,3,1,1.098612289,1,4,10,7,5,4,4,1.098612289,6.463029457,4,3,5.257495372,1.386294361,1,10,2006,7,1,340037.5
20,3,4.094344562,7200,2,1,4,0,0,4,3,5,2,2,0,2,5,7,1972,1972,1,1,6,6,2,0,3,3,1,4,4,4,6,6.448889394,2,148,780,1,5,1,4,780,4.700480366,780,0,0,1,0,0.693147181,1,3,4,7,1,2,2,0,5.863631176,4,3,5.278114659,1.386294361,4,1,2008,9,6,124900
20,3,4.143134726,13072,2,1,4,3,0,4,3,20,5,2,0,2,6,5,2004,2004,1,1,12,13,2,0,3,3,2,5,4,2,6,6.84694314,2,217,1158,1,5,1,4,1158,4.700480366,1158,1,0,1,1,1.098612289,1,4,5,7,1,2,2,0.693147181,6.356107661,4,3,2.48490665,3.912023005,1,5,2006,7,1,158000
75,4,4.094344562,7200,2,1,4,3,0,4,3,9,2,2,0,4,5,7,1920,1996,1,1,8,8,2,0,3,3,0,4,3,2,2,0.693147181,2,530,530,1,3,0,4,581,6.272877007,1111,0,0,1,0,1.098612289,1,2,6,7,1,2,2,0,5.66296048,4,1,2.48490665,1.386294361,1,3,2007,9,6,101000
120,3,3.784189634,6442,2,1,3,3,0,4,3,16,2,2,4,2,8,5,2006,2006,1,1,12,13,3,5.18178355,4,3,2,5,5,3,7,3.17805383,2,1346,1370,1,5,1,4,1370,4.700480366,1370,0,0,2,0,0.693147181,1,4,6,7,5,6,3,0.693147181,6.182084907,4,3,4.787491743,3.891820298,1,10,2007,9,6,202500
70,4,3.912023005,10300,2,1,3,0,0,4,3,17,6,1,0,5,7,6,1921,1950,1,1,11,12,2,0,3,3,0,4,4,2,2,0.693147181,2,576,576,1,4,1,4,902,6.694562059,1710,0,0,2,0,1.098612289,1,3,9,7,1,2,2,0.693147181,6.173786104,4,3,2.48490665,2.397895273,5,4,2010,9,6,140000
60,3,3.044522438,9375,2,1,4,3,0,4,3,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,6.037274083,3,3,2,5,4,2,7,6.605297921,2,318,1057,1,5,1,4,1057,6.884486652,2034,1,0,2,1,1.098612289,1,4,8,7,1,6,3,0.693147181,6.469250317,4,3,6.040254711,3.583518938,5,2,2009,9,6,219500
60,3,4.33073334,9591,2,1,4,3,0,4,3,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,5.840641657,4,3,2,6,4,4,2,0.693147181,2,1143,1143,1,5,1,4,1143,7.192934221,2473,0,0,2,1,1.386294361,1,4,9,7,5,4,3,1.098612289,6.747586527,4,3,5.257495372,5.017279837,1,10,2007,9,6,317000
20,3,3.044522438,17673.5,2,1,4,3,0,4,3,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,5.659482216,3,3,1,5,4,5,7,6.81563999,2,1035,1947,1,3,1,4,2155.125,4.700480366,2207,1,0,2,0,1.098612289,1,3,7,6,5,6,3,0.693147181,6.356107661,4,3,5.707110265,1.386294361,1,7,2010,9,6,180000
20,3,4.276666119,10665,2,1,3,3,0,4,3,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,5.117993812,4,3,2,5,4,4,7,6.920671504,2,440,1453,1,5,1,4,1479,4.700480366,1479,1,0,2,0,1.098612289,1,4,7,7,1,6,3,0.693147181,6.324358962,4,3,4.9698133,3.36729583,1,6,2007,9,6,226000
30,4,3.850147602,4608,2,1,4,3,0,0,3,17,0,2,0,2,4,6,1945,1950,1,1,8,8,2,0,3,4,1,4,4,2,2,0.693147181,2,747,747,1,3,1,4,747,4.700480366,747,0,0,1,0,0.693147181,1,3,4,7,1,6,2,0,5.393627546,4,3,2.48490665,1.386294361,1,6,2010,9,6,80000
50,3,4.394449155,15593,2,1,4,3,0,0,3,4,2,2,0,0,7,4,1953,1953,1,1,3,0,2,0,4,3,1,4,4,2,5,6.401917197,2,701,1304,2,3,1,4,1304,6.89060912,2287,0,0,2,0,1.098612289,1,3,7,7,4,6,4,0.693147181,6.502790046,4,3,2.48490665,3.044522438,1,7,2006,9,6,225000
20,3,4.553876892,13651,2,1,3,3,0,4,3,12,2,2,0,2,7,6,1973,1973,1,1,9,10,1,6.037274083,3,4,1,5,4,5,6,7.484719705,2,343,2052,1,5,1,4,2155.125,4.700480366,2223,1,0,2,0,1.098612289,1,3,8,7,5,6,4,0.693147181,6.246106765,4,3,5.703782475,1.386294361,1,2,2007,9,6,244000
20,3,4.234106505,7599,2,1,4,3,0,0,3,11,2,2,0,2,4,6,1982,2006,1,1,6,10,2,0,3,3,1,4,4,2,6,6.336825731,2,280,845,1,3,1,4,845,4.700480366,845,1,0,1,0,0.693147181,1,3,4,7,1,2,2,0.693147181,5.886104031,4,3,2.48490665,1.386294361,1,6,2007,9,6,129500
60,3,4.304065093,10141,2,1,3,3,0,0,3,8,2,2,0,5,7,5,1998,1998,1,1,12,13,1,3.688879454,3,3,2,5,4,2,2,0.693147181,2,832,832,1,4,1,4,885,6.725033642,1718,0,0,2,1,1.098612289,1,3,7,7,4,6,4,0.693147181,6.056784013,4,3,2.48490665,4.543294782,1,12,2009,9,6,185000
20,3,4.442651256,10200,2,1,4,3,0,4,3,12,2,2,0,2,5,7,1954,2003,1,1,13,14,1,4.644390899,3,3,1,4,4,2,6,5.768320996,5,404,1086,1,4,1,4,1086,4.700480366,1086,1,0,1,0,1.098612289,1,3,6,7,1,6,2,0.693147181,6.194405391,4,3,2.48490665,1.386294361,3,5,2010,9,6,144900
